osm_type,osm_id,poi_name,poi_category,latitude,longitude,raw_tags
node,191817955,Laugfs Auto,fuel_station,6.8450341,79.9304148,"{""addr:city"": ""Maharagama"", ""addr:street"": ""High Level Road"", ""amenity"": ""fuel"", ""brand"": ""Laugfs Petroleum"", ""brand:wikidata"": ""Q112300731"", ""name"": ""Laugfs Auto""}"
node,254367261,Wethara District Hospital,hospital,6.7846239,79.9756303,"{""addr:city"": ""Wethara"", ""addr:street"": ""Colombo - Horana Road"", ""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""name"": ""Wethara District Hospital""}"
node,254367262,Ceypetco,fuel_station,6.784671,79.9772792,"{""amenity"": ""fuel"", ""brand"": ""Ceypetco"", ""brand:wikidata"": ""Q5065795"", ""name"": ""Ceypetco""}"
node,255179653,Sri Jayawardenapura teaching hospital,hospital,6.8683337,79.9261518,"{""amenity"": ""hospital"", ""emergency"": ""yes"", ""healthcare"": ""hospital"", ""name"": ""Sri Jayawardenapura teaching hospital""}"
node,256352889,CPC,fuel_station,6.7967786,79.9311227,"{""addr:city"": ""Miriswatte"", ""amenity"": ""fuel"", ""name"": ""CPC""}"
node,256352913,Lanka IOC,fuel_station,6.7983532,79.9270424,"{""amenity"": ""fuel"", ""brand"": ""Lanka IOC"", ""brand:wikidata"": ""Q30595420"", ""fuel:diesel"": ""yes"", ""fuel:octane_91"": ""yes"", ""fuel:octane_95"": ""yes"", ""name"": ""Lanka IOC""}"
node,256352919,CPC,fuel_station,6.8021634,79.9225982,"{""addr:city"": ""Piliyandala"", ""amenity"": ""fuel"", ""name"": ""CPC""}"
node,256352970,,fuel_station,6.8481442,79.8982001,"{""addr:city"": ""Raththanapitiya"", ""addr:street"": ""Colombo-Piliyandala-Horana Road"", ""amenity"": ""fuel""}"
node,256352989,,fuel_station,6.8660166,79.8850624,"{""amenity"": ""fuel"", ""brand"": ""Laufgs"", ""operator"": ""Laufgs""}"
node,256353034,Ceypetco,fuel_station,6.8826924,79.8876451,"{""amenity"": ""fuel"", ""brand"": ""Ceypetco"", ""brand:wikidata"": ""Q5065795"", ""name"": ""Ceypetco"", ""opening_hours"": ""24/7""}"
node,256542591,Somaweera Chandrasiri Junior School,school,6.8033559,79.9230047,"{""addr:city"": ""Piliyandala"", ""amenity"": ""school"", ""name"": ""Somaweera Chandrasiri Junior School""}"
node,257676791,Kesbewa Rest house,tourism,6.7927235,79.9389592,"{""name"": ""Kesbewa Rest house"", ""tourism"": ""guest_house""}"
node,259648485,Kingston College International,school,6.87985,79.8624412,"{""amenity"": ""school"", ""check_date"": ""2024-07-04"", ""created_by"": ""JOSM"", ""is_in"": ""Colombo, Colombo District, Western Province, Sri Lanka"", ""name"": ""Kingston College International""}"
node,265911249,CEYPETCO - Ebert Silva,fuel_station,6.8539417,79.8658742,"{""addr:city"": ""Dehiwala"", ""addr:housenumber"": ""173"", ""addr:postcode"": ""10350"", ""addr:street"": ""Galle Road"", ""amenity"": ""fuel"", ""brand"": ""Ceypetco"", ""brand:wikidata"": ""Q5065795"", ""name"": ""CEYPETCO - Ebert Silva"", ""name:en"": ""Ceypetco"", ""opening_hours"": ""Mo-Su 05:00-11:00""}"
node,268931553,,bus_stop,6.8817697,79.90118,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""network"": ""Pita Kotte"", ""public_transport"": ""platform""}"
node,269032442,Cargills Food City,commercial,6.8329646,79.8671266,"{""branch"": ""Mount Lavinia "", ""brand"": ""Cargills Food City"", ""brand:wikidata"": ""Q58353955"", ""name"": ""Cargills Food City"", ""shop"": ""supermarket""}"
node,269067743,P & A,commercial,6.8824777,79.8614816,"{""name"": ""P & A"", ""operator"": ""test"", ""shop"": ""supermarket""}"
node,269067771,Muslim Ladies College,school,6.8816677,79.8614288,"{""addr:city"": ""Bambalapitiya"", ""addr:street"": ""R. A. De Mel Mawatha"", ""amenity"": ""school"", ""check_date"": ""2023-09-08"", ""name"": ""Muslim Ladies College""}"
node,269362613,Kotte Rajamaha Viharaya,religious,6.8814277,79.9043667,"{""amenity"": ""place_of_worship"", ""name"": ""Kotte Rajamaha Viharaya"", ""religion"": ""buddhist""}"
node,331478996,Aqua Pearl Lake Resort,tourism,6.7636916,79.9096066,"{""addr:city"": ""Moratuwa"", ""addr:street"": ""Aqua Pearl Drive"", ""name"": ""Aqua Pearl Lake Resort"", ""tourism"": ""hotel""}"
node,361007728,St.Michelle Island Resort,tourism,6.7774418,79.9127379,"{""addr:city"": ""Dampe"", ""name"": ""St.Michelle Island Resort"", ""operator"": ""Celinco"", ""tourism"": ""hotel""}"
node,543854412,St. Johns College,school,6.7229739,79.9142091,"{""amenity"": ""school"", ""name"": ""St. Johns College"", ""wikidata"": ""Q7588659"", ""wikipedia"": ""en:St. John's College, Panadura""}"
node,543856324,Town Hall,bus_stop,6.7200733,79.9076091,"{""bus"": ""yes"", ""direction"": ""S"", ""highway"": ""bus_stop"", ""name"": ""Town Hall"", ""public_transport"": ""platform""}"
node,543860517,,religious,6.7261289,79.9055569,"{""amenity"": ""place_of_worship""}"
node,543864642,Gangula Temple,religious,6.7246287,79.914715,"{""amenity"": ""place_of_worship"", ""name"": ""Gangula Temple"", ""religion"": ""buddhist""}"
node,543870867,,bus_stop,6.7083614,79.9079462,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""public_transport"": ""platform""}"
node,543871109,Panadura Balika Vidyalaya,school,6.7133598,79.908312,"{""amenity"": ""school"", ""name"": ""Panadura Balika Vidyalaya""}"
node,543871335,SLTB Bus Station,bus_stop,6.7144935,79.9080546,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""SLTB Bus Station"", ""public_transport"": ""station""}"
node,543872657,Rankoth Vihara Temple,religious,6.7109205,79.9065934,"{""amenity"": ""place_of_worship"", ""name"": ""Rankoth Vihara Temple"", ""religion"": ""buddhist""}"
node,598722464,Haus Chandra Hotel,tourism,6.8422713,79.8630895,"{""addr:city"": ""Mount Lavinia"", ""name"": ""Haus Chandra Hotel"", ""tourism"": ""hotel""}"
node,599713336,Deepangoda Sri Medhananda Maha Vidyalaya,school,6.816558,79.9820128,"{""addr:city"": ""Deepangoda"", ""addr:street"": ""Kottawa-Horana Road"", ""amenity"": ""school"", ""name"": ""Deepangoda Sri Medhananda Maha Vidyalaya""}"
node,599717318,Opposite Hathamuna,bus_stop,6.8164138,79.9825208,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Opposite Hathamuna"", ""public_transport"": ""platform""}"
node,599762371,Sri Wijayatilakaramaya,religious,6.8325182,79.9637522,"{""addr:city"": ""Kottawa"", ""addr:street"": ""Piliyandala - Kottawa Road"", ""amenity"": ""place_of_worship"", ""name"": ""Sri Wijayatilakaramaya"", ""religion"": ""buddhist""}"
node,599762408,Sri Wardhanaramaya,religious,6.8139023,79.9825652,"{""amenity"": ""place_of_worship"", ""name"": ""Sri Wardhanaramaya"", ""religion"": ""buddhist""}"
node,599762419,mini Co-op Super,commercial,6.8197508,79.9806571,"{""name"": ""mini Co-op Super"", ""shop"": ""convenience""}"
node,599762429,"Government Dispensary, Brahmanagama",hospital,6.8199958,79.9805879,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Government Dispensary, Brahmanagama""}"
node,599762445,Makumbura Purana Viharaya,religious,6.8375568,79.9808004,"{""amenity"": ""place_of_worship"", ""name"": ""Makumbura Purana Viharaya"", ""religion"": ""buddhist""}"
node,599762465,Vidyadeepa Maha Vidyalaya,school,6.8295514,79.966435,"{""addr:city"": ""Mattegoda"", ""addr:street"": ""Kottawa-Horana Road"", ""amenity"": ""school"", ""name"": ""Vidyadeepa Maha Vidyalaya""}"
node,599762473,Kande Purana Viharaya,religious,6.8264621,79.9766107,"{""amenity"": ""place_of_worship"", ""name"": ""Kande Purana Viharaya"", ""religion"": ""buddhist""}"
node,599762488,Deepangoda Primary School,school,6.812792,79.9829103,"{""addr:city"": ""Deepangoda"", ""addr:street"": ""Kottawa-Horana Road"", ""amenity"": ""school"", ""name"": ""Deepangoda Primary School""}"
node,599776530,Ceypetco,fuel_station,6.8455675,79.9524167,"{""addr:city"": ""Morakaetiya Junction"", ""amenity"": ""fuel"", ""brand"": ""Ceypetco"", ""brand:wikidata"": ""Q5065795"", ""name"": ""Ceypetco""}"
node,599776535,Madawala Enterprises,fuel_station,6.8449372,79.9405299,"{""addr:city"": ""Pannipitiya"", ""addr:street"": ""High Level Road"", ""amenity"": ""fuel"", ""brand"": ""IOC"", ""name"": ""Madawala Enterprises""}"
node,599776566,IOC Filling Station,fuel_station,6.8411245,79.9660324,"{""addr:city"": ""Kottawa"", ""amenity"": ""fuel"", ""brand"": ""Lanka IOC"", ""brand:wikidata"": ""Q30595420"", ""name"": ""IOC Filling Station""}"
node,599815328,Mattegoda,bus_stop,6.8114091,79.9752145,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Mattegoda"", ""public_transport"": ""platform""}"
node,599822882,"Ananda Vidyalaya,  Kottawa",school,6.8442343,79.9581677,"{""addr:street"": ""Old Kottawa Road"", ""amenity"": ""school"", ""name"": ""Ananda Vidyalaya,  Kottawa""}"
node,599822883,Dharmapala Vidyalaya Kottawa North,school,6.8655244,79.9584867,"{""amenity"": ""school"", ""name"": ""Dharmapala Vidyalaya Kottawa North""}"
node,617262855,Pannipitiya Nursing Home,hospital,6.8468216,79.9522616,"{""addr:city"": ""Pannipitiya"", ""addr:street"": ""Pannipitiya-Malambe Road"", ""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""name"": ""Pannipitiya Nursing Home""}"
node,617764938,Ceypecto,fuel_station,6.8735707,79.9374033,"{""amenity"": ""fuel"", ""name"": ""Ceypecto"", ""opening_hours"": ""Mo-Sa 06:00-22:00""}"
node,618005037,Lanka IOC,fuel_station,6.8483333,79.9249926,"{""addr:city"": ""Maharagama"", ""amenity"": ""fuel"", ""brand"": ""Lanka IOC"", ""brand:wikidata"": ""Q30595420"", ""name"": ""Lanka IOC""}"
